location_name,time_id,year,month,tourism_revenue_crore_inr,foreign_tourist_arrivals,temp_c,rainfall_mm,humidity_pct
Amaravati,232,2019,April,17134,774651,31.92,4.7,61.23333333
Amaravati,246,2020,June,208,8590,30.77333333,137.5,68.96666667
Amaravati,245,2020,May,94,3764,33.42580645,15,58.4516129
Amaravati,252,2020,December,1776,90544,23.79032258,0.3,76.64516129
Amaravati,262,2021,October,5094,191415,27.96774194,118.9,79.58064516
Amaravati,237,2019,September,16824,751513,28.09333333,228.4,80.6
Amaravati,258,2021,June,3157,36070,31.32666667,68.5,61.16666667
Amaravati,254,2021,February,5477,110312,25.675,0.7,65.32142857
Amaravati,241,2020,January,20200,1119250,25.22258065,39.9,74.93548387
Amaravati,250,2020,October,831,41494,27.29677419,311.6,83.35483871
Amaravati,263,2021,November,7022,263867,25.53666667,178.9,84.83333333
Amaravati,247,2020,July,307,12655,28.60645161,302.4,81.90322581
Amaravati,229,2019,January,18205,1111040,23.94516129,36.8,67.64516129
Amaravati,235,2019,July,18205,818125,30.42580645,154.7,67.5483871
Amaravati,231,2019,March,16214,978236,29.90967742,4.6,63.29032258
Amaravati,242,2020,February,18241,1018440,26.70344828,7.4,66.75862069
Amaravati,253,2021,January,4700,94662,25.00967742,1.5,73.70967742
Amaravati,244,2020,April,71,2820,31.31,14.6,63.2
Bengaluru,232,2019,April,17134,774651,27.81666667,25.4,47.3
Bengaluru,258,2021,June,3157,36070,23.63666667,113.8,75.76666667
Bengaluru,246,2020,June,208,8590,23.86333333,177.1,78.5
Bengaluru,236,2019,August,17867,800837,22.52903226,178.6,82.90322581
Bengaluru,240,2019,December,22631,1226398,21.16451613,36.7,76.96774194
Bengaluru,238,2019,October,17057,945017,22.3516129,218.4,84.87096774
Bengaluru,249,2020,September,686,28167,22.09333333,286.4,86.93333333
Bengaluru,237,2019,September,16824,751513,22.82333333,182.3,82.43333333
Bengaluru,261,2021,September,6549,115661,22.78333333,117,80.83333333
Bengaluru,257,2021,May,1730,19765,25.09032258,109,71.96774194
Bengaluru,235,2019,July,18205,818125,23.45806452,107.1,77.5483871
Bengaluru,262,2021,October,5094,191415,22.34516129,296.5,85.12903226
Bengaluru,239,2019,November,19840,1092440,22.36666667,37,77.66666667
Bengaluru,254,2021,February,5477,110312,21.62857143,17.2,58.14285714
Bengaluru,245,2020,May,94,3764,27.50967742,35.2,59.38709677
Bengaluru,247,2020,July,307,12655,22.64193548,343,85.77419355
Bengaluru,259,2021,July,4105,72501,22.59032258,180.8,82.58064516
Bengaluru,229,2019,January,18205,1111040,20.62258065,32.4,58.38709677
Bengaluru,233,2019,May,13642,615136,27.01612903,48.7,62.83870968
Bengaluru,260,2021,August,5251,92728,22.71935484,185.6,81.5483871
Bengaluru,231,2019,March,16214,978236,26.76129032,1.2,44.25806452
Bengaluru,230,2019,February,17959,1090516,23.75714286,6.9,54.67857143
Bengaluru,263,2021,November,7022,263867,21.06666667,296.3,87.66666667
Bengaluru,243,2020,March,5830,328304,25.60967742,12,54.51612903
Bengaluru,264,2021,December,8452,317647,20.51290323,21.1,76.96774194
Bengaluru,255,2021,March,6642,133768,25.37096774,0,43.06451613
Bengaluru,242,2020,February,18241,1018440,23.28275862,0.7,57.17241379
Bengaluru,234,2019,June,16083,726446,24.70333333,92.3,75.6
Bengaluru,244,2020,April,71,2820,26.98666667,28,52.83333333
Bengaluru,252,2020,December,1776,90544,20.14516129,52.5,77.87096774
Bengaluru,250,2020,October,831,41494,22.10645161,130.1,81.80645161
Bengaluru,253,2021,January,4700,94662,21.02903226,27.1,72.96774194
Bengaluru,256,2021,April,6891,78718,26.24,76.5,57.13333333
Bengaluru,248,2020,August,479,19761,22.56129032,110.8,82.29032258
Bengaluru,251,2020,November,1413,70977,21.57,89.4,78.46666667
Bengaluru,241,2020,January,20200,1119250,22.37741935,3.4,64.74193548
Bhopal,236,2019,August,17867,800837,25.27741935,582.3,89.03225806
Bhopal,250,2020,October,831,41494,26.37419355,11.3,57.67741935
Bhopal,242,2020,February,18241,1018440,19.5,1.5,54.37931034
Bhopal,248,2020,August,479,19761,25.5516129,809.9,87.87096774
Bhopal,253,2021,January,4700,94662,18.1,9.1,66.58064516
Bhopal,257,2021,May,1730,19765,31.60645161,16.3,38.16129032
Bhopal,255,2021,March,6642,133768,26.54193548,3.3,33.83870968
Bhopal,249,2020,September,686,28167,26.58,236.9,83.7
Bhopal,245,2020,May,94,3764,33.9516129,0,27.12903226
Bhopal,263,2021,November,7022,263867,21.48666667,0,56.36666667
Bhopal,251,2020,November,1413,70977,21.54333333,1.5,53.96666667
Bhopal,247,2020,July,307,12655,27.29354839,203.5,81.58064516
Bhopal,234,2019,June,16083,726446,33.41333333,81.6,47.06666667
Bhopal,231,2019,March,16214,978236,25.0483871,0.4,36.09677419
Bhopal,254,2021,February,5477,110312,20.925,0.5,45.28571429
Bhopal,260,2021,August,5251,92728,25.3516129,532.5,85.77419355
Bhopal,238,2019,October,17057,945017,24.02903226,48.7,77.22580645
Bhopal,264,2021,December,8452,317647,17.87419355,5.6,62.67741935
Bhopal,243,2020,March,5830,328304,23.75806452,24.1,48.25806452
Bhopal,235,2019,July,18205,818125,26.84193548,664.7,81.35483871
Bhopal,258,2021,June,3157,36070,28.75,187.4,68.43333333
Bhopal,233,2019,May,13642,615136,34.27096774,0,24.29032258
Bhopal,252,2020,December,1776,90544,18.21612903,35.3,63.70967742
Bhopal,230,2019,February,17959,1090516,20.55357143,1.8,48.85714286
Bhopal,240,2019,December,22631,1226398,17.34193548,16.4,71.83870968
Bhopal,237,2019,September,16824,751513,25.12666667,546.6,90.63333333
Bhopal,232,2019,April,17134,774651,31.85333333,11.5,23.73333333
Bhopal,244,2020,April,71,2820,30.29,0.9,29.36666667
Bhopal,239,2019,November,19840,1092440,22.73333333,18,66.86666667
Bhopal,256,2021,April,6891,78718,30.69333333,0.3,20.46666667
Bhopal,261,2021,September,6549,115661,25.36666667,330.2,88.06666667
Bhopal,241,2020,January,20200,1119250,16.1516129,17,71.09677419
Bhopal,229,2019,January,18205,1111040,16.49354839,2.4,55.12903226
Bhopal,259,2021,July,4105,72501,27.06774194,416.6,79.12903226
Bhopal,262,2021,October,5094,191415,24.43870968,75.6,70.93548387
Bhopal,246,2020,June,208,8590,28.58,187.9,70.73333333
Bhubaneswar,235,2019,July,18205,818125,28.49032258,353.6,84.64516129
Bhubaneswar,234,2019,June,16083,726446,30.82333333,103.6,76.2
Bhubaneswar,252,2020,December,1776,90544,21.55483871,0.2,73.22580645
Bhubaneswar,230,2019,February,17959,1090516,24.41785714,9.3,64.5
Bhubaneswar,246,2020,June,208,8590,29.17666667,186.7,83.13333333
Bhubaneswar,244,2020,April,71,2820,29.38,98.5,73.76666667
Bhubaneswar,263,2021,November,7022,263867,24.30333333,67.7,79.9
Bhubaneswar,241,2020,January,20200,1119250,20.82903226,40.6,78.09677419
Bhubaneswar,248,2020,August,479,19761,28.10645161,794.5,86.93548387
Bhubaneswar,243,2020,March,5830,328304,26.90322581,31,74.09677419
Bhubaneswar,258,2021,June,3157,36070,29.20666667,178.4,81.7
Bhubaneswar,261,2021,September,6549,115661,27.25,512.4,88.73333333
Bhubaneswar,255,2021,March,6642,133768,29.07096774,0.8,63.70967742
Bhubaneswar,239,2019,November,19840,1092440,24.45,9.7,80.73333333
Bhubaneswar,259,2021,July,4105,72501,28.38387097,360,84.25806452
Bhubaneswar,247,2020,July,307,12655,28.69032258,247.1,84.87096774
Bhubaneswar,232,2019,April,17134,774651,30.13333333,12.9,71
Bhubaneswar,231,2019,March,16214,978236,27.80645161,22.3,71.22580645
Bhubaneswar,250,2020,October,831,41494,26.80967742,250.8,85.4516129
Bhubaneswar,242,2020,February,18241,1018440,21.85517241,64.5,74.79310345
Bhubaneswar,238,2019,October,17057,945017,26.48387097,247.5,87.77419355
Bhubaneswar,245,2020,May,94,3764,29.64516129,125.7,77.77419355
Bhubaneswar,237,2019,September,16824,751513,27.23,327.5,89.53333333
Bhubaneswar,264,2021,December,8452,317647,20.53548387,192.2,78.41935484
Bhubaneswar,249,2020,September,686,28167,28.39666667,224.9,86.16666667
Bhubaneswar,262,2021,October,5094,191415,27.02258065,177.8,83.58064516
Bhubaneswar,253,2021,January,4700,94662,22.57419355,1.5,73.22580645
Bhubaneswar,233,2019,May,13642,615136,30.52258065,184.8,77.32258065
Bhubaneswar,251,2020,November,1413,70977,24.54666667,9.3,73.43333333
Bhubaneswar,257,2021,May,1730,19765,30.07741935,127.2,75.16129032
Bhubaneswar,254,2021,February,5477,110312,24.02142857,0.3,61.39285714
Bhubaneswar,260,2021,August,5251,92728,28.42258065,234.1,84.77419355
Bhubaneswar,256,2021,April,6891,78718,30.24,4.5,69.73333333
Bhubaneswar,236,2019,August,17867,800837,27.85806452,449.4,87.96774194
Bhubaneswar,240,2019,December,22631,1226398,21.2516129,12,77.64516129
Bhubaneswar,229,2019,January,18205,1111040,20.33225806,0.2,67.16129032
Chandigarh,248,2020,August,479,19761,28.39354839,158.2,80.48387097
Chandigarh,234,2019,June,16083,726446,33.07666667,3.8,37.26666667
Chandigarh,262,2021,October,5094,191415,24.43870968,64.5,63.61290323
Chandigarh,242,2020,February,18241,1018440,15.3,19.4,69.93103448
Chandigarh,258,2021,June,3157,36070,30.36,43.1,57
Chandigarh,251,2020,November,1413,70977,18.59,19.3,54.73333333
Chandigarh,241,2020,January,20200,1119250,11.74516129,99,77.77419355
Chandigarh,250,2020,October,831,41494,25.43225806,0,43.48387097
Chandigarh,249,2020,September,686,28167,28.69333333,16.2,66.96666667
Chandigarh,240,2019,December,22631,1226398,12.01612903,45.6,79.19354839
Chandigarh,243,2020,March,5830,328304,18.6483871,118.3,65.12903226
Chandigarh,232,2019,April,17134,774651,26.93333333,32.2,42.56666667
Chandigarh,263,2021,November,7022,263867,18.41,0,56.36666667
Chandigarh,256,2021,April,6891,78718,25.96666667,45.4,33.23333333
Chandigarh,246,2020,June,208,8590,31.05666667,13.3,55.16666667
Chandigarh,239,2019,November,19840,1092440,18.91333333,29.9,67.16666667
Chandigarh,244,2020,April,71,2820,25.35666667,14.4,44.2
Chandigarh,230,2019,February,17959,1090516,14.075,184.4,73.5
Chandigarh,257,2021,May,1730,19765,28.66451613,25.5,45
Chandigarh,245,2020,May,94,3764,29.68709677,16.9,39.77419355
Chandigarh,238,2019,October,17057,945017,23.11612903,3.8,71.19354839
Chandigarh,235,2019,July,18205,818125,28.79032258,350,77.03225806
Chandigarh,231,2019,March,16214,978236,18.48064516,17.4,61.5483871
Chandigarh,261,2021,September,6549,115661,27.65666667,48.8,75.73333333
Chandigarh,252,2020,December,1776,90544,13.77419355,15.9,68.87096774
Chandigarh,260,2021,August,5251,92728,28.17096774,91.1,79.87096774
Chandigarh,253,2021,January,4700,94662,12.68709677,19.4,78.51612903
Chandigarh,259,2021,July,4105,72501,29.70645161,320.6,71.5483871
Chandigarh,264,2021,December,8452,317647,13.43870968,2.6,67.48387097
Chandigarh,233,2019,May,13642,615136,30.65483871,0.7,30.16129032
Chandigarh,237,2019,September,16824,751513,27.00666667,107.6,81.53333333
Chandigarh,254,2021,February,5477,110312,16.95,8.7,63.25
Chandigarh,247,2020,July,307,12655,29.20967742,119,74.48387097
Chandigarh,229,2019,January,18205,1111040,12.29032258,78.9,68.51612903
Chandigarh,255,2021,March,6642,133768,22.74193548,1,42.58064516
Chandigarh,236,2019,August,17867,800837,28.01935484,253.1,83.25806452
Chennai,262,2021,October,5094,191415,27.69354839,233.5,83.41935484
Chennai,242,2020,February,18241,1018440,26.27586207,5.1,71
Chennai,248,2020,August,479,19761,28.67419355,95.8,77.74193548
Chennai,259,2021,July,4105,72501,29.39677419,153.9,71.16129032
Chennai,247,2020,July,307,12655,28.62580645,181.9,80
Chennai,260,2021,August,5251,92728,29.12580645,156.9,74.03225806
Chennai,263,2021,November,7022,263867,25.59,782.1,87.86666667
Chennai,264,2021,December,8452,317647,25.27419355,70.1,77.32258065
Chennai,241,2020,January,20200,1119250,25.27419355,37.6,77.58064516
Chennai,256,2021,April,6891,78718,29.28666667,10.1,76.9
Chennai,261,2021,September,6549,115661,28.66666667,136,78.5
Chennai,235,2019,July,18205,818125,29.76129032,65.6,71.61290323
Chennai,234,2019,June,16083,726446,31.52,51.8,66.16666667
Chennai,251,2020,November,1413,70977,26.30666667,300.9,83.4
Chennai,244,2020,April,71,2820,29.29666667,11.2,75.63333333
Chennai,240,2019,December,22631,1226398,25.85483871,103.1,76.09677419
Chennai,253,2021,January,4700,94662,25.25483871,78.5,80.35483871
Chennai,257,2021,May,1730,19765,30.5483871,49.2,70.70967742
Chennai,239,2019,November,19840,1092440,26.69666667,145.8,83.2
Chennai,255,2021,March,6642,133768,26.76774194,0.6,78.38709677
Chennai,231,2019,March,16214,978236,27.91935484,4,75.25806452
Chennai,246,2020,June,208,8590,30.76666667,54.1,67.86666667
Chennai,250,2020,October,831,41494,27.81612903,228.8,79.70967742
Chennai,238,2019,October,17057,945017,27.18709677,228.6,84.48387097
Chennai,237,2019,September,16824,751513,28.08,189.8,81.13333333
Chennai,249,2020,September,686,28167,27.91666667,165.6,81.2
Chennai,245,2020,May,94,3764,30.96451613,4.8,73.03225806
Chennai,229,2019,January,18205,1111040,24.36129032,4.1,71.96774194
Chennai,233,2019,May,13642,615136,31.17096774,2.9,73.77419355
Chennai,243,2020,March,5830,328304,27.50967742,1.7,73.38709677
Chennai,252,2020,December,1776,90544,25.33225806,255.7,76.29032258
Chennai,258,2021,June,3157,36070,30.63666667,34.5,65.26666667
Chennai,236,2019,August,17867,800837,29.24193548,126.5,72
Chennai,254,2021,February,5477,110312,24.91071429,21.8,73.96428571
Chennai,230,2019,February,17959,1090516,26.20357143,6.9,76.07142857
Chennai,232,2019,April,17134,774651,29.70666667,3,75.53333333
Daman,255,2021,March,6642,133768,26.82580645,0,62.4516129
Daman,263,2021,November,7022,263867,26.87333333,9.2,65.03333333
Daman,235,2019,July,18205,818125,27.13548387,597,89.03225806
Daman,251,2020,November,1413,70977,26.30666667,0,61.83333333
Daman,241,2020,January,20200,1119250,21.53225806,0.8,70.90322581
Daman,259,2021,July,4105,72501,27.52903226,312.6,85.96774194
Daman,230,2019,February,17959,1090516,22.275,0.1,65.67857143
Daman,250,2020,October,831,41494,27.83548387,26.8,80.32258065
Daman,261,2021,September,6549,115661,26.53,672.4,88.86666667
Daman,253,2021,January,4700,94662,22.0516129,2.8,76.58064516
Daman,234,2019,June,16083,726446,29.00333333,156.8,80.5
Daman,257,2021,May,1730,19765,29.47096774,167.6,75.70967742
Daman,240,2019,December,22631,1226398,24.61935484,1.2,70.77419355
Daman,256,2021,April,6891,78718,28.63333333,0,73.93333333
Daman,246,2020,June,208,8590,28.23,152.7,84
Daman,245,2020,May,94,3764,30.03870968,1.3,75.09677419
Daman,231,2019,March,16214,978236,25.17419355,0.1,65.77419355
Daman,247,2020,July,307,12655,27.3483871,416.9,88.77419355
Daman,249,2020,September,686,28167,27.23666667,184,88.56666667
Daman,262,2021,October,5094,191415,27.10645161,26.7,78.87096774
Daman,260,2021,August,5251,92728,26.47096774,586.3,87.90322581
Daman,239,2019,November,19840,1092440,26.51333333,27.7,77.8
Daman,233,2019,May,13642,615136,29.05483871,1,75.64516129
Daman,238,2019,October,17057,945017,27.52903226,65.9,81.22580645
Daman,248,2020,August,479,19761,26.6516129,707.3,90.4516129
Daman,244,2020,April,71,2820,28.82666667,0,71.36666667
Daman,242,2020,February,18241,1018440,24.07241379,0,60.03448276
Daman,229,2019,January,18205,1111040,21,0.5,61.67741935
Daman,237,2019,September,16824,751513,26.78666667,492.5,89.43333333
Daman,258,2021,June,3157,36070,27.79333333,185,85.93333333
Daman,264,2021,December,8452,317647,22.59354839,73.7,78.67741935
Daman,254,2021,February,5477,110312,23.96785714,0,63.28571429
Daman,243,2020,March,5830,328304,25.33225806,2.7,67.74193548
Daman,232,2019,April,17134,774651,28.33,0,70.8
Daman,252,2020,December,1776,90544,23.27741935,47.7,71.83870968
Daman,236,2019,August,17867,800837,26.72258065,516.7,88.67741935
Dehradun,236,2019,August,17867,800837,26.08387097,324.3,86.09677419
Dehradun,230,2019,February,17959,1090516,13.11785714,128.6,71.96428571
Dehradun,235,2019,July,18205,818125,26.23225806,402.5,84.61290323
Dehradun,250,2020,October,831,41494,21.97419355,0,64.64516129
Dehradun,259,2021,July,4105,72501,26.72903226,223.6,81.35483871
Dehradun,264,2021,December,8452,317647,12.01290323,4.3,71.19354839
Dehradun,248,2020,August,479,19761,26.03548387,343.2,87.09677419
Dehradun,241,2020,January,20200,1119250,10.68387097,116.7,77.4516129
Dehradun,243,2020,March,5830,328304,16.76451613,106,69.48387097
Dehradun,261,2021,September,6549,115661,25.23,101.1,83.16666667
Dehradun,252,2020,December,1776,90544,12.82258065,8.2,69.29032258
Dehradun,240,2019,December,22631,1226398,11.74516129,28.4,74.5483871
Dehradun,246,2020,June,208,8590,27.12333333,56.5,70.83333333
Dehradun,249,2020,September,686,28167,25.73666667,40.1,80.2
Dehradun,263,2021,November,7022,263867,15.88333333,0,71.6
Dehradun,242,2020,February,18241,1018440,13.4,20.2,74.93103448
Dehradun,234,2019,June,16083,726446,29.75333333,7,47.76666667
Dehradun,251,2020,November,1413,70977,16.15666667,6,69.53333333
Dehradun,257,2021,May,1730,19765,24.69677419,92.9,62.03225806
Dehradun,255,2021,March,6642,133768,19.90322581,2.8,52.51612903
Dehradun,254,2021,February,5477,110312,15.49285714,5.5,65.92857143
Dehradun,239,2019,November,19840,1092440,17.74666667,7.4,67
Dehradun,262,2021,October,5094,191415,21.69354839,87.3,75.74193548
Dehradun,260,2021,August,5251,92728,25.72903226,242.2,86.77419355
Dehradun,253,2021,January,4700,94662,11.89677419,10.1,75.4516129
Dehradun,238,2019,October,17057,945017,21.41612903,6.4,76.06451613
Dehradun,229,2019,January,18205,1111040,11.51612903,50.8,67.22580645
Dehradun,247,2020,July,307,12655,26.11935484,396.1,85.09677419
Dehradun,233,2019,May,13642,615136,27.71935484,7,36.4516129
Dehradun,258,2021,June,3157,36070,26.56666667,187.4,72.6
Dehradun,231,2019,March,16214,978236,17.13225806,18.6,62.93548387
Dehradun,237,2019,September,16824,751513,24.71666667,176.2,86.5
Dehradun,244,2020,April,71,2820,22.20666667,35.1,55.33333333
Dehradun,232,2019,April,17134,774651,24.48,27.2,49.56666667
Dehradun,256,2021,April,6891,78718,22.94666667,18.1,40.16666667
Dehradun,245,2020,May,94,3764,25.53225806,44.6,54.58064516
Delhi,229,2019,January,18205,1111040,12.92258065,26.8,70.32258065
Delhi,230,2019,February,17959,1090516,15.06785714,48.8,75.28571429
Delhi,242,2020,February,18241,1018440,15.96206897,28.1,69.65517241
Delhi,250,2020,October,831,41494,25.94516129,0,48.48387097
Delhi,235,2019,July,18205,818125,30.61612903,184.9,71.5483871
Delhi,263,2021,November,7022,263867,19.54666667,0,61.26666667
Delhi,241,2020,January,20200,1119250,12.63225806,65.9,79.93548387
Delhi,243,2020,March,5830,328304,19.80645161,65.2,70.38709677
Delhi,256,2021,April,6891,78718,28.84,2.6,26.2
Delhi,245,2020,May,94,3764,31.09354839,34,42.41935484
Delhi,254,2021,February,5477,110312,18.08928571,11.1,68.42857143
Delhi,261,2021,September,6549,115661,27.52333333,147.1,84.36666667
Delhi,240,2019,December,22631,1226398,12.50322581,9.8,79.87096774
Delhi,259,2021,July,4105,72501,31.08064516,282.1,70.16129032
Delhi,255,2021,March,6642,133768,24.53870968,1.5,45.67741935
Delhi,258,2021,June,3157,36070,31.93,23.5,57.06666667
Delhi,239,2019,November,19840,1092440,20.96,25.4,66.7
Delhi,251,2020,November,1413,70977,19.12,13.1,55.16666667
Delhi,231,2019,March,16214,978236,20.3,13.6,57.29032258
Delhi,234,2019,June,16083,726446,34.64666667,10.7,40.33333333
Delhi,264,2021,December,8452,317647,14.4516129,15.5,70.51612903
Delhi,238,2019,October,17057,945017,25.8,14.8,61.74193548
Delhi,260,2021,August,5251,92728,29.21612903,125,77.48387097
Delhi,253,2021,January,4700,94662,13.06451613,26.7,78.96774194
Delhi,233,2019,May,13642,615136,32.13548387,3.5,31.4516129
Delhi,249,2020,September,686,28167,29.67666667,38.4,69.33333333
Delhi,237,2019,September,16824,751513,28.32333333,82.4,80.7
Delhi,262,2021,October,5094,191415,25.30645161,33.8,67.16129032
Delhi,244,2020,April,71,2820,26.95666667,5.5,46.53333333
Delhi,236,2019,August,17867,800837,28.85806452,199.1,83
Delhi,248,2020,August,479,19761,29.01935484,209,81.90322581
Delhi,252,2020,December,1776,90544,14.70645161,1.3,68.25806452
Delhi,247,2020,July,307,12655,30.79677419,113.9,72.12903226
Delhi,232,2019,April,17134,774651,29.11333333,5.5,39.96666667
Delhi,257,2021,May,1730,19765,29.71290323,147.3,48.48387097
Delhi,246,2020,June,208,8590,32.31,10.9,57.03333333
Gandhinagar,252,2020,December,1776,90544,20.99354839,1.7,54.09677419
Gandhinagar,248,2020,August,479,19761,27.43225806,851.8,87.48387097
Gandhinagar,242,2020,February,18241,1018440,22.7,0,39.06896552
Gandhinagar,241,2020,January,20200,1119250,18.45483871,0.5,58.38709677
Gandhinagar,250,2020,October,831,41494,28.23870968,12.2,56
Gandhinagar,263,2021,November,7022,263867,24.07666667,0.8,50.3
Gandhinagar,235,2019,July,18205,818125,30.49677419,149,69.22580645
Gandhinagar,253,2021,January,4700,94662,19.77096774,0,56.03225806
Gandhinagar,256,2021,April,6891,78718,32.42,0.1,26.5
Gandhinagar,240,2019,December,22631,1226398,20.30645161,0,60.41935484
Gandhinagar,251,2020,November,1413,70977,23.66333333,0,49.83333333
